Ticker,Company Name,Sector,Industry Group,Country,Dividend Yield,Dividend Payout Ratio,Last
USB,U.S. Bancorp,Financial,Regional - Midwest Banks,United States of America,0.032928,0.572116,52.46
USLM,United States Lime & Minerals Inc,Industrial Goods,General Building Materials,United States of America,0.004597,0.127662,146.21
USPH,U.S. Physical Therapy Inc,Healthcare,Specialized Health Services,United States of America,0.01075,0.427521,113.08
UTL,Unitil Corp,Utilities,Diversified Utilities,United States of America,0.035479,0.702933,43.71
UTMD,Utah Medical Products Inc,Healthcare,Medical Instruments & Supplies,United States of America,0.012988,0.351328,87.45
UVE,Universal Insurance Holdings Inc,Financial,Property & Casualty Insurance,United States of America,0.051817,1.28537,15.59
UVSP,Univest Corporation of Pennsylvania,Financial,Regional - Northeast Banks,United States of America,0.030132,0.373774,27.71
UVV,Universal Corp,Consumer Goods,"Tobacco Products, Other",United States of America,0.059107,1.041536,53.41
VBTX,Veritex Holdings Inc,Financial,Regional - Southwest  Banks,United States of America,0.022819,0.460959,30.73
VCTR,Victory Capital Holdings Inc,,,United States of America,0.009729,0.076684,24.52
VER,Vereit Inc,Financial,REIT - Diversified,United States of America,0.048951,5.076538,37.8
VGR,Vector Group Ltd,Consumer Goods,Cigarettes,United States of America,0.059657,1.384568,13.91
VHC,VirnetX Holding Corp,Technology,Internet Software & Services,United States of America,0.161551,0.249974,6.06
VHI,Valhi Inc,Basic Materials,Chemicals - Major Diversified,United States of America,0.026519,0.857778,18.3
VIAC,ViacomCBS ,Services,Entertainment - Diversified,United States of America,0.016694,0.22214,74.21
VICI,VICI Properties Inc,,,United States of America,0.043805,0.69224,29.2
VIRT,Virtu Financial Inc,Financial,Investment Brokerage - National,United States of America,0.035854,0.107498,26.98
VLY,Valley National Bancorp,Financial,Regional - Northeast Banks,United States of America,0.034646,0.488095,12.99
VMC,Vulcan Materials Co,Industrial Goods,General Building Materials,United States of America,0.008373,0.308336,167.31
VMI,Valmont Industries Inc,Industrial Goods,Metal Fabrication,United States of America,0.007916,0.299489,233.44
VOYA,Voya Financial Inc,Financial,Asset Management,United States of America,0.009897,6.897959,62.23
VRSK,Verisk Analytics Inc,Services,Business Services,United States of America,0.006681,0.246668,168.13
VRTS,Virtus Investment Partners Inc,Financial,Asset Management,United States of America,0.012531,0.267974,245.58
VSH,Vishay Intertechnology Inc,Technology,Semiconductor - Broad Line,United States of America,0.016874,0.448923,23.33
VST,Vistra Energy Corp,Utilities,Electric Utilities,United States of America,0.030875,0.426282,17.82
VTR,Ventas Inc,Financial,REIT - Healthcare Facilities,United States of America,0.040107,2.151111,55.18
VZ,Verizon Communications Inc,Technology,Telecom Services - Domestic,United States of America,0.045347,0.557663,55.95
